id_aux,anyo_proceso,fecha_nacimiento,rbd,cod_ens,regimen,rama_educacional,grupo_dependencia,anyo_egreso,codigo_region,codigo_provincia,codigo_comuna,codigo_region_d,codigo_comuna_d,situacion_egreso,bea,pace,pais_nacimiento,sexo,ingreso_percapita_grupo_fa
id_8509585970918,2025,2000-04-01,4.0,310.0,3.0,H1,4.0,2017.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,3
id_9058590075843,2025,2005-07-01,4.0,310.0,3.0,H1,4.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,1
id_9667596676718,2025,2005-12-01,4.0,310.0,3.0,H1,4.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,1,3
id_9003590770303,2025,2005-05-01,4.0,310.0,3.0,H1,4.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,PACE,210,2,2
id_8697586579769,2025,2001-11-01,4.0,310.0,3.0,H1,4.0,2019.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,99
id_9635596373514,2025,2005-11-01,4.0,310.0,3.0,H1,4.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,99
id_5908559870811,2025,2006-04-01,4.0,310.0,3.0,H1,4.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,PACE,210,2,1
id_9273592177396,2025,2004-06-01,4.0,310.0,3.0,H1,4.0,2021.0,15.0,151.0,15101.0,15,15101,5,No,No,210,1,99
id_9650596575093,2025,2005-08-01,4.0,310.0,3.0,H1,4.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,1
id_9909599670917,2025,2002-12-01,4.0,310.0,3.0,H1,4.0,2020.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,3
id_5949559174901,2025,2006-06-01,4.0,310.0,3.0,H1,4.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,2
id_5899558779938,2025,2006-01-01,4.0,310.0,3.0,H1,4.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,1,3
id_9614596271458,2025,2005-10-01,4.0,310.0,3.0,H1,4.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,1,4
id_9313593871388,2025,2004-11-01,4.0,310.0,3.0,H1,4.0,2022.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,99
id_9688596378866,2025,2005-11-01,4.0,310.0,3.0,H1,4.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,PACE,210,2,9
id_2205522870512,2025,2006-03-01,4.0,310.0,3.0,H1,4.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,244,2,6
id_5930559173029,2025,2006-06-01,4.0,310.0,3.0,H1,4.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,PACE,210,2,1
id_9397593379791,2025,2005-02-01,4.0,310.0,3.0,H1,4.0,2022.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,4
id_5841558774196,2025,2006-01-01,4.0,310.0,3.0,H1,4.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,1,2
id_9021590972107,2025,2005-04-01,4.0,310.0,3.0,H1,4.0,2022.0,15.0,151.0,15101.0,15,15101,5,No,No,210,1,1
id_6087960378791,2025,1998-09-01,4.0,310.0,3.0,H1,4.0,2016.0,15.0,151.0,15101.0,15,15101,5,No,No,210,1,8
id_5812558571262,2025,2006-01-01,4.0,310.0,3.0,H1,4.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,1
id_9175591277550,2025,2003-12-01,4.0,310.0,3.0,H1,4.0,2021.0,15.0,151.0,15101.0,13,13101,5,No,No,210,2,2
id_7607576270745,2025,2004-09-01,4.0,310.0,3.0,H1,4.0,2022.0,15.0,151.0,15101.0,15,15101,5,No,No,244,2,6
id_0770907977069,2025,1992-12-01,4.0,310.0,3.0,H1,4.0,2010.0,15.0,151.0,15101.0,15,15101,5,No,No,210,1,99
id_5930559173075,2025,2006-06-01,4.0,310.0,3.0,H1,4.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,PACE,210,2,1
id_9255592475597,2025,2004-08-01,4.0,310.0,3.0,H1,4.0,2022.0,15.0,151.0,15101.0,13,13101,5,No,No,210,2,1
id_5889558778956,2025,2006-01-01,4.0,310.0,3.0,H1,4.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,PACE,210,2,1
id_9473594677344,2025,2004-05-01,4.0,310.0,3.0,H1,4.0,2022.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,1
id_9076590177681,2025,2005-05-01,4.0,310.0,3.0,H1,4.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,2
id_6093960379395,2025,1999-03-01,4.0,310.0,3.0,H1,4.0,2016.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,6
id_5885558578570,2025,2005-12-01,4.0,310.0,3.0,H1,4.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,PACE,210,2,3
id_5825558972563,2025,2006-01-01,4.0,310.0,3.0,H1,4.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,PACE,210,2,6
id_9493594779335,2025,2004-02-01,4.0,310.0,3.0,H1,4.0,2021.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,6
id_8390583779037,2025,2001-04-01,4.0,310.0,3.0,H1,4.0,2018.0,15.0,151.0,15101.0,15,15101,5,No,No,210,1,2
id_5817558171745,2025,2006-02-01,4.0,310.0,3.0,H1,4.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,1
id_9690596079060,2025,2005-11-01,4.0,310.0,3.0,H1,4.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,9
id_5874558077471,2025,2006-01-01,4.0,310.0,3.0,H1,4.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,99
id_5811558271183,2025,2006-02-01,4.0,310.0,3.0,H1,4.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,3
id_9674596277489,2025,2005-10-01,4.0,310.0,3.0,H1,4.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,PACE,210,2,3
id_3781937378146,2025,1990-03-01,4.0,310.0,3.0,H1,4.0,2007.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,7
id_9033590873383,2025,2005-03-01,4.0,310.0,3.0,H1,4.0,2022.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,8
id_9308593270830,2025,2005-01-01,5.0,310.0,3.0,H1,4.0,2022.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,1
id_9017590271710,2025,2005-06-01,5.0,310.0,3.0,H1,4.0,2022.0,15.0,151.0,15101.0,15,15101,5,No,No,210,1,99
id_9506595670621,2025,2003-05-01,5.0,310.0,3.0,H1,4.0,2020.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,1
id_9252592475232,2025,2004-09-01,5.0,310.0,3.0,H1,4.0,2022.0,15.0,151.0,15101.0,13,13101,5,No,No,210,2,2
id_9387593878708,2025,2004-10-01,5.0,310.0,3.0,H1,4.0,2022.0,15.0,151.0,15101.0,15,15101,5,No,No,210,1,99
id_8247582474741,2025,2000-12-01,5.0,310.0,3.0,H1,4.0,2019.0,15.0,151.0,15101.0,13,13120,5,No,No,210,2,2
id_9605596270552,2025,2005-10-01,5.0,310.0,3.0,H1,4.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,1
id_9725597672508,2025,2003-09-01,5.0,310.0,3.0,H1,4.0,2021.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,3
id_6382963878268,2025,1998-01-01,5.0,310.0,3.0,H1,4.0,2016.0,15.0,151.0,15101.0,15,15101,5,No,No,210,1,1
id_5827558372732,2025,2006-03-01,5.0,310.0,3.0,H1,4.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,10
id_7108571170811,2025,2004-09-01,5.0,310.0,3.0,H1,4.0,2022.0,15.0,151.0,15101.0,15,15101,5,No,No,244,2,7
id_6093960379313,2025,1999-03-01,5.0,310.0,3.0,H1,4.0,2016.0,15.0,151.0,15101.0,15,15101,5,No,No,210,1,2
id_7564575676454,2025,2004-10-01,5.0,310.0,3.0,H1,4.0,2022.0,15.0,151.0,15101.0,15,15101,5,No,No,123,2,1
id_7148571774822,2025,2002-07-01,5.0,310.0,3.0,H1,4.0,2020.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,7
id_8012580071247,2025,2001-10-01,5.0,310.0,3.0,H1,4.0,2019.0,15.0,151.0,15101.0,15,15101,5,No,No,210,1,8
id_9321593872156,2025,2004-11-01,5.0,310.0,3.0,H1,4.0,2022.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,2
id_5829558272971,2025,2006-02-01,5.0,310.0,3.0,H1,4.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,1
id_9013590171393,2025,2005-04-01,5.0,310.0,3.0,H1,4.0,2023.0,15.0,151.0,15101.0,9,9103,5,No,No,210,1,1
id_5805558970507,2025,2006-01-01,5.0,310.0,3.0,H1,4.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,6
id_5846558974694,2025,2006-01-01,5.0,310.0,3.0,H1,4.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,3
id_2384923378497,2025,1986-10-01,5.0,310.0,3.0,H1,4.0,2004.0,15.0,151.0,15101.0,3,3101,5,No,No,210,1,1
id_5943559574383,2025,2006-05-01,5.0,310.0,3.0,H1,4.0,2023.0,15.0,151.0,15101.0,2,2101,5,No,No,210,2,2
id_8525585972550,2025,1999-09-01,5.0,310.0,3.0,H1,4.0,2017.0,15.0,151.0,15101.0,15,15101,5,No,No,210,1,8
id_8432584173228,2025,2000-11-01,5.0,310.0,3.0,H1,4.0,2018.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,1
id_4532545873265,2025,2005-03-01,5.0,310.0,3.0,H1,4.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,244,2,1
id_9678596477827,2025,2005-10-01,5.0,310.0,3.0,H1,4.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,3
id_9378593777843,2025,2004-12-01,5.0,310.0,3.0,H1,4.0,2022.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,8
id_5851558575113,2025,2006-01-01,5.0,310.0,3.0,H1,4.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,1,5
id_9548595874837,2025,2003-01-01,5.0,310.0,3.0,H1,4.0,2020.0,15.0,151.0,15101.0,15,15101,5,No,No,210,1,8
id_9155591075557,2025,2004-01-01,5.0,310.0,3.0,H1,4.0,2021.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,7
id_9453594675338,2025,2004-06-01,5.0,310.0,3.0,H1,4.0,2022.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,3
id_5817558171790,2025,2006-02-01,45.0,310.0,2.0,H1,2.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,99
id_9206592070667,2025,2004-10-01,45.0,310.0,2.0,H1,2.0,2022.0,15.0,151.0,15101.0,9,9101,5,No,No,210,2,3
id_5818558671834,2025,2006-04-01,45.0,310.0,2.0,H1,2.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,9
id_9207592870774,2025,2004-06-01,45.0,310.0,2.0,H1,2.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,2
id_9009590270950,2025,2005-06-01,45.0,310.0,2.0,H1,2.0,2022.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,99
id_9033590173361,2025,2005-05-01,45.0,310.0,2.0,H1,2.0,2023.0,15.0,151.0,15101.0,8,8101,5,No,No,210,2,99
id_9916599671638,2025,2002-11-01,45.0,310.0,2.0,H1,2.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,99
id_9632596973209,2025,2005-08-01,45.0,310.0,2.0,H1,2.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,4
id_5889558578948,2025,2006-01-01,45.0,310.0,2.0,H1,2.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,2
id_9665596476547,2025,2005-10-01,45.0,310.0,2.0,H1,2.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,5
id_5916559971699,2025,2006-05-01,45.0,310.0,2.0,H1,2.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,2
id_0790507579061,2025,2006-08-01,45.0,310.0,2.0,H1,2.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,244,2,8
id_3608536870813,2025,2005-10-01,52.0,310.0,3.0,H1,2.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,244,1,6
id_066904642895,2025,2006-06-01,52.0,310.0,3.0,H1,2.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,123,2,99
id_5838558473891,2025,2006-02-01,52.0,310.0,3.0,H1,2.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,4
id_3013530471379,2025,2005-05-01,52.0,310.0,3.0,H1,2.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,123,1,8
id_9323593772356,2025,2004-11-01,52.0,310.0,3.0,H1,2.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,3
id_0609906970935,2025,1994-08-01,52.0,310.0,3.0,H1,2.0,2012.0,15.0,151.0,15101.0,8,8111,5,No,No,210,2,1
id_5888558078884,2025,2006-03-01,52.0,310.0,3.0,H1,2.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,2
id_5843558574336,2025,2006-01-01,52.0,310.0,3.0,H1,2.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,1,1
id_9666596776699,2025,2005-08-01,52.0,310.0,3.0,H1,2.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,3
id_8430584173002,2025,2005-04-01,52.0,310.0,3.0,H1,2.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,2
id_9195591979551,2025,2003-10-01,52.0,310.0,3.0,H1,2.0,2021.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,8
id_7273972177356,2025,1979-04-01,52.0,310.0,3.0,H1,2.0,1996.0,15.0,151.0,15101.0,13,13121,5,No,No,210,1,10
id_9694596979498,2025,2005-07-01,52.0,310.0,3.0,H1,2.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,1,10
id_5884558478483,2025,2006-02-01,52.0,310.0,3.0,H1,2.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,1,99
id_9214592071425,2025,2004-10-01,52.0,310.0,3.0,H1,2.0,2022.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,3
id_8430584173036,2025,2004-08-01,52.0,310.0,3.0,H1,2.0,2022.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,1
id_9443594274361,2025,2004-05-01,52.0,310.0,3.0,H1,2.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,1,3
id_9137591473735,2025,2003-12-01,52.0,310.0,3.0,H1,2.0,2021.0,15.0,151.0,15101.0,15,15101,5,No,No,210,1,99
id_6906969170674,2025,1995-11-01,52.0,310.0,3.0,H1,2.0,2013.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,99
id_9685596278528,2025,2005-10-01,52.0,310.0,3.0,H1,2.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,1
id_6725967472561,2025,1996-10-01,52.0,310.0,3.0,H1,2.0,2014.0,15.0,151.0,15101.0,13,13105,5,No,No,210,1,99
id_5983559478352,2025,2006-06-01,52.0,310.0,3.0,H1,2.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,99
id_5823558672398,2025,2006-04-01,52.0,310.0,3.0,H1,2.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,1,5
id_5801558470179,2025,2006-02-01,52.0,310.0,3.0,H1,2.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,1,1
id_5903559870311,2025,2006-05-01,52.0,310.0,3.0,H1,2.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,2
id_9099590479925,2025,2005-05-01,52.0,310.0,3.0,H1,2.0,2022.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,1
id_9608596470853,2025,2005-10-01,52.0,310.0,3.0,H1,2.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,3
id_5988559478863,2025,2006-06-01,52.0,310.0,3.0,H1,2.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,7
id_5061550776123,2025,2005-07-01,52.0,310.0,3.0,H1,2.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,244,2,6
id_9348593874833,2025,2004-11-01,52.0,310.0,3.0,H1,2.0,2022.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,2
id_8323583372330,2025,2001-05-01,52.0,310.0,3.0,H1,2.0,2018.0,15.0,151.0,15101.0,13,13101,5,No,No,210,2,1
id_9342593274299,2025,2005-01-01,52.0,310.0,3.0,H1,2.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,4
id_2426524272659,2025,2004-11-01,52.0,310.0,3.0,H1,2.0,2022.0,15.0,151.0,15101.0,15,15101,5,No,No,244,2,2
id_9673596477380,2025,2005-10-01,52.0,310.0,3.0,H1,2.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,1,4
id_9422594072290,2025,2004-05-01,52.0,310.0,3.0,H1,2.0,2021.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,1
id_5848558374872,2025,2006-03-01,52.0,310.0,3.0,H1,2.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,1
id_9241592774110,2025,2004-08-01,52.0,310.0,3.0,H1,2.0,2022.0,15.0,151.0,15101.0,15,15101,5,No,No,210,1,7
id_9750597875069,2025,2003-05-01,52.0,310.0,3.0,H1,2.0,2020.0,15.0,151.0,15101.0,15,15101,5,No,No,210,1,1
id_3764937276425,2025,1990-01-01,52.0,310.0,3.0,H1,2.0,2007.0,15.0,151.0,15101.0,15,15101,5,No,No,210,1,99
id_5809558970951,2025,2006-01-01,52.0,310.0,3.0,H1,2.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,9
id_9482594178294,2025,2004-03-01,52.0,310.0,3.0,H1,2.0,2021.0,15.0,151.0,15101.0,15,15101,5,No,No,210,1,3
id_9184591578462,2025,2003-10-01,56.0,310.0,3.0,H1,2.0,2021.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,1
id_9648596974818,2025,2005-07-01,56.0,310.0,3.0,H1,2.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,9
id_5803558870313,2025,2005-12-01,56.0,310.0,3.0,H1,2.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,1,4
id_9265592876505,2025,2004-06-01,56.0,310.0,3.0,H1,2.0,2022.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,6
id_9036590673645,2025,2005-08-01,56.0,310.0,3.0,H1,2.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,5
id_5857558375745,2025,2006-03-01,56.0,310.0,3.0,H1,2.0,2023.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,6
id_9076590577615,2025,2005-04-01,56.0,310.0,3.0,H1,2.0,2022.0,15.0,151.0,15101.0,15,15101,5,No,No,210,2,3
